RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:Q96CG3	TIFA	TRAF-interacting protein with FHA domain-containing protein A
UniProtKB:P32248	CCR7	C-C chemokine receptor type 7
UniProtKB:P32246	CCR1	C-C chemokine receptor type 1
UniProtKB:P20851	C4BPB	C4b-binding protein beta chain
UniProtKB:C9J1S8	TRIM49D1	Tripartite motif-containing protein 49D
UniProtKB:Q9UEW3	MARCO	Macrophage receptor MARCO
UniProtKB:Q9UEW8	STK39	STE20/SPS1-related proline-alanine-rich protein kinase
UniProtKB:Q6P9F5	TRIM40	E3 ubiquitin ligase TRIM40
UniProtKB:Q04864	REL	Proto-oncogene c-Rel
UniProtKB:O43823	AKAP8	A-kinase anchor protein 8
UniProtKB:A7MCY6	TBKBP1	TANK-binding kinase 1-binding protein 1
UniProtKB:Q9UH17	APOBEC3B	DNA dC->dU-editing enzyme APOBEC-3B
UniProtKB:Q16222	UAP1	UDP-N-acetylhexosamine pyrophosphorylase
UniProtKB:Q8NG35	DEFB105A	Beta-defensin 105
UniProtKB:Q9UGM3	DMBT1	Deleted in malignant brain tumors 1 protein
UniProtKB:Q96CV9	OPTN	Optineurin
UniProtKB:O95864	FADS2	Acyl-CoA 6-desaturase
UniProtKB:Q96D96	HVCN1	Voltage-gated hydrogen channel 1
UniProtKB:P49137	MAPKAPK2	MAP kinase-activated protein kinase 2
UniProtKB:Q96GV9	MACIR	Macrophage immunometabolism regulator
UniProtKB:O75626	PRDM1	PR domain zinc finger protein 1
UniProtKB:O43766	LIAS	Lipoyl synthase, mitochondrial
UniProtKB:Q9P2E3	ZNFX1	NFX1-type zinc finger-containing protein 1
UniProtKB:P59666	DEFA3	Neutrophil defensin 3
UniProtKB:P59665	DEFA1	Neutrophil defensin 1
UniProtKB:P32456	GBP2	Guanylate-binding protein 2
UniProtKB:P32455	GBP1	Guanylate-binding protein 1
UniProtKB:A1A4Y4	IRGM	Immunity-related GTPase family M protein
UniProtKB:P49069	CAMLG	Guided entry of tail-anchored proteins factor CAMLG
UniProtKB:O95999	BCL10	B-cell lymphoma/leukemia 10
UniProtKB:Q9H112	CST11	Cystatin-11
UniProtKB:Q9H0P0	NT5C3A	Cytosolic 5'-nucleotidase 3A
UniProtKB:Q9UIV1	CNOT7	CCR4-NOT transcription complex subunit 7
UniProtKB:Q9UJ70	NAGK	N-acetyl-D-glucosamine kinase
UniProtKB:P00533	EGFR	Epidermal growth factor receptor
UniProtKB:P62820	RAB1A	Ras-related protein Rab-1A
UniProtKB:P20749	BCL3	B-cell lymphoma 3 protein
UniProtKB:P42685	FRK	Tyrosine-protein kinase FRK
UniProtKB:P27487	DPP4	Dipeptidyl peptidase 4
UniProtKB:Q9H0F6	SHARPIN	Sharpin
UniProtKB:Q9Y3E7	CHMP3	Charged multivesicular body protein 3
UniProtKB:O75582	RPS6KA5	Ribosomal protein S6 kinase alpha-5
UniProtKB:A6NDI0	TRIM49B	Putative tripartite motif-containing protein 49B
UniProtKB:O75575	CRCP	DNA-directed RNA polymerase III subunit RPC9
UniProtKB:P49327	FASN	Fatty acid synthase
UniProtKB:O75569	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A
UniProtKB:P10721	KIT	Mast/stem cell growth factor receptor Kit
UniProtKB:P10720	PF4V1	Platelet factor 4 variant
UniProtKB:Q06187	BTK	Tyrosine-protein kinase BTK
UniProtKB:P0DJI9	SAA2	Serum amyloid A-2 protein
UniProtKB:P0DJI8	SAA1	Serum amyloid A-1 protein
UniProtKB:Q96FT7	ASIC4	Acid-sensing ion channel 4
UniProtKB:Q9UIB8	CD84	SLAM family member 5
UniProtKB:P17405	SMPD1	Sphingomyelin phosphodiesterase
UniProtKB:Q06141	REG3A	Regenerating islet-derived protein 3-alpha
UniProtKB:O75594	PGLYRP1	Peptidoglycan recognition protein 1
UniProtKB:P52848	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
UniProtKB:Q9H078	CLPB	Mitochondrial disaggregase
UniProtKB:Q9NVJ2	ARL8B	ADP-ribosylation factor-like protein 8B
UniProtKB:Q9NVI7	ATAD3A	ATPase family AAA domain-containing protein 3A
UniProtKB:P02675	FGB	Fibrinogen beta chain
UniProtKB:P02671	FGA	Fibrinogen alpha chain
UniProtKB:Q9BT09	CNPY3	Protein canopy homolog 3
UniProtKB:O60733	PLA2G6	85/88 kDa calcium-independent phospholipase A2
UniProtKB:P09341	CXCL1	Growth-regulated alpha protein
UniProtKB:Q96Q42	ALS2	Alsin
UniProtKB:O15054	KDM6B	Lysine-specific demethylase 6B
UniProtKB:O15049	N4BP3	NEDD4-binding protein 3
UniProtKB:Q9H9S5	FKRP	Ribitol 5-phosphate transferase FKRP
UniProtKB:Q9NV70	EXOC1	Exocyst complex component 1
UniProtKB:Q96PK6	RBM14	RNA-binding protein 14
UniProtKB:P12838	DEFA4	Defensin alpha 4
UniProtKB:Q96PH6	DEFB118	Defensin beta 118
UniProtKB:Q96PH1	NOX5	NADPH oxidase 5
UniProtKB:Q9NUQ8	ABCF3	ATP-binding cassette sub-family F member 3
UniProtKB:Q9BRZ2	TRIM56	E3 ubiquitin-protein ligase TRIM56
UniProtKB:P19525	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase
UniProtKB:Q5SQI0	ATAT1	Alpha-tubulin N-acetyltransferase 1
UniProtKB:Q96PD5	PGLYRP2	N-acetylmuramoyl-L-alanine amidase
UniProtKB:Q96PD4	IL17F	Interleukin-17F
UniProtKB:Q9NUN7	ACER3	Alkaline ceramidase 3
UniProtKB:Q9BRX9	WDR83	WD repeat domain-containing protein 83
UniProtKB:Q01524	DEFA6	Defensin-6
UniProtKB:Q01523	DEFA5	Defensin alpha 5
UniProtKB:P04049	RAF1	RAF proto-oncogene serine/threonine-protein kinase
UniProtKB:Q13258	PTGDR	Prostaglandin D2 receptor
UniProtKB:Q13241	KLRD1	Natural killer cells antigen CD94
UniProtKB:P19838	NFKB1	Nuclear factor NF-kappa-B p105 subunit
UniProtKB:Q13217	DNAJC3	DnaJ homolog subfamily C member 3
UniProtKB:Q96SB4	SRPK1	SRSF protein kinase 1
UniProtKB:Q01804	OTUD4	OTU domain-containing protein 4
UniProtKB:Q5T5A8	LCE3C	Late cornified envelope protein 3C
UniProtKB:Q8N8V2	GBP7	Guanylate-binding protein 7
UniProtKB:Q9NP99	TREM1	Triggering receptor expressed on myeloid cells 1
UniProtKB:P61088	UBE2N	Ubiquitin-conjugating enzyme E2 N
UniProtKB:Q96S82	UBL7	Ubiquitin-like protein 7
UniProtKB:P81534	DEFB103A	Beta-defensin 103
UniProtKB:P14222	PRF1	Perforin-1
UniProtKB:O60927	PPP1R11	E3 ubiquitin-protein ligase PPP1R11
UniProtKB:P14207	FOLR2	Folate receptor beta
UniProtKB:P02808	STATH	Statherin
UniProtKB:P05121	SERPINE1	Plasminogen activator inhibitor 1
UniProtKB:P29597	TYK2	Non-receptor tyrosine-protein kinase TYK2
UniProtKB:P29590	PML	Protein PML
UniProtKB:O60477	BRINP1	BMP/retinoic acid-inducible neural-specific protein 1
UniProtKB:O60449	LY75	Lymphocyte antigen 75
UniProtKB:Q9NSA3	CTNNBIP1	Beta-catenin-interacting protein 1
UniProtKB:Q14142	TRIM14	Tripartite motif-containing protein 14
UniProtKB:Q14164	IKBKE	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
UniProtKB:Q96MN2	NLRP4	NACHT, LRR and PYD domains-containing protein 4
UniProtKB:P15407	FOSL1	Fos-related antigen 1
UniProtKB:P15408	FOSL2	Fos-related antigen 2
UniProtKB:Q9NRW3	APOBEC3C	DNA dC->dU-editing enzyme APOBEC-3C
UniProtKB:Q9H6S1	AZI2	5-azacytidine-induced protein 2
UniProtKB:O43474	KLF4	Krueppel-like factor 4
UniProtKB:P19256	CD58	Lymphocyte function-associated antigen 3
UniProtKB:Q9NRR4	DROSHA	Ribonuclease 3
UniProtKB:P30530	AXL	Tyrosine-protein kinase receptor UFO
UniProtKB:O95352	ATG7	Ubiquitin-like modifier-activating enzyme ATG7
UniProtKB:Q6EIG7	CLEC6A	C-type lectin domain family 6 member A
UniProtKB:P37231	PPARG	Peroxisome proliferator-activated receptor gamma
UniProtKB:Q9UBH0	IL36RN	Interleukin-36 receptor antagonist protein
UniProtKB:Q9NYJ8	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
UniProtKB:Q9UBD3	XCL2	Cytokine SCM-1 beta
UniProtKB:Q9UBC7	GALP	Galanin-like peptide
UniProtKB:Q9NYL2	MAP3K20	Mitogen-activated protein kinase kinase kinase 20
UniProtKB:P40763	STAT3	Signal transducer and activator of transcription 3
UniProtKB:P05305	EDN1	Endothelin-1
UniProtKB:P20292	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein
UniProtKB:Q14508	WFDC2	WAP four-disulfide core domain protein 2
UniProtKB:Q96IG2	FBXL20	F-box/LRR-repeat protein 20
UniProtKB:P15559	NQO1	NAD(P)H dehydrogenase [quinone] 1
UniProtKB:Q9UKY4	POMT2	Protein O-mannosyl-transferase 2
UniProtKB:Q6P589	TNFAIP8L2	Tumor necrosis factor alpha-induced protein 8-like protein 2
UniProtKB:P15529	CD46	Membrane cofactor protein
UniProtKB:Q96J02	ITCH	E3 ubiquitin-protein ligase Itchy homolog
UniProtKB:Q9NYR9	NKIRAS2	NF-kappa-B inhibitor-interacting Ras-like protein 2
UniProtKB:P15516	HTN3	Histatin-3
UniProtKB:P15515	HTN1	Histatin-1
UniProtKB:Q9H2X3	CLEC4M	C-type lectin domain family 4 member M
UniProtKB:P62891	RPL39	Large ribosomal subunit protein eL39
UniProtKB:P20702	ITGAX	Integrin alpha-X
UniProtKB:P20701	ITGAL	Integrin alpha-L
UniProtKB:P62888	RPL30	Large ribosomal subunit protein eL30
UniProtKB:Q04771	ACVR1	Activin receptor type-1
UniProtKB:P62861	FAU	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein
UniProtKB:Q16236	NFE2L2	Nuclear factor erythroid 2-related factor 2
UniProtKB:Q04759	PRKCQ	Protein kinase C theta type
UniProtKB:Q8NGA4	GPR32P1	Putative G-protein coupled receptor GPR32P1
UniProtKB:Q96DR5	BPIFA2	BPI fold-containing family A member 2
UniProtKB:Q04721	NOTCH2	Neurogenic locus notch homolog protein 2
UniProtKB:O95786	RIGI	Antiviral innate immune response receptor RIG-I
UniProtKB:P42345	MTOR	Serine/threonine-protein kinase mTOR
UniProtKB:Q96DU3	SLAMF6	SLAM family member 6
UniProtKB:P62807	H2BC10	Histone H2B type 1-C/E/F/G/I
UniProtKB:Q9Y6D0	SELENOK	Selenoprotein K
UniProtKB:Q8NFZ5	TNIP2	TNFAIP3-interacting protein 2
UniProtKB:O95760	IL33	Interleukin-33
UniProtKB:Q96DX8	RTP4	Receptor-transporting protein 4
UniProtKB:Q9Y5K6	CD2AP	CD2-associated protein
UniProtKB:P17181	IFNAR1	Interferon alpha/beta receptor 1
UniProtKB:P10415	BCL2	Apoptosis regulator Bcl-2
UniProtKB:Q14952	KIR2DS3	Killer cell immunoglobulin-like receptor 2DS3
UniProtKB:Q8NFR9	IL17RE	Interleukin-17 receptor E
UniProtKB:Q8NFQ6	BPIFC	BPI fold-containing family C protein
UniProtKB:Q9BTV4	TMEM43	Transmembrane protein 43
UniProtKB:Q14934	NFATC4	Nuclear factor of activated T-cells, cytoplasmic 4
UniProtKB:Q9Y466	NR2E1	Nuclear receptor subfamily 2 group E member 1
UniProtKB:P15813	CD1D	Antigen-presenting glycoprotein CD1d
UniProtKB:P30793	GCH1	GTP cyclohydrolase 1
UniProtKB:Q96G91	P2RY11	P2Y purinoceptor 11
UniProtKB:Q96AZ6	ISG20	Interferon-stimulated gene 20 kDa protein
UniProtKB:Q9UII4	HERC5	E3 ISG15--protein ligase HERC5
UniProtKB:P05556	ITGB1	Integrin beta-1
UniProtKB:Q14765	STAT4	Signal transducer and activator of transcription 4
UniProtKB:Q14761	PTPRCAP	Protein tyrosine phosphatase receptor type C-associated protein
UniProtKB:O43187	IRAK2	Interleukin-1 receptor-associated kinase-like 2
UniProtKB:O75023	LILRB5	Leukocyte immunoglobulin-like receptor subfamily B member 5
UniProtKB:O75022	LILRB3	Leukocyte immunoglobulin-like receptor subfamily B member 3
UniProtKB:O75019	LILRA1	Leukocyte immunoglobulin-like receptor subfamily A member 1
UniProtKB:O75015	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B
UniProtKB:Q96AQ6	PBXIP1	Pre-B-cell leukemia transcription factor-interacting protein 1
UniProtKB:P0DMW2	NLRP2B	NLR family pyrin domain-containing protein 2B
UniProtKB:P52333	JAK3	Tyrosine-protein kinase JAK3
UniProtKB:Q8NDL9	AGBL5	Cytosolic carboxypeptidase-like protein 5
UniProtKB:Q96B02	UBE2W	Ubiquitin-conjugating enzyme E2 W
UniProtKB:Q99062	CSF3R	Granulocyte colony-stimulating factor receptor
UniProtKB:Q9UJ71	CD207	C-type lectin domain family 4 member K
UniProtKB:Q9Y2Y1	POLR3K	DNA-directed RNA polymerase III subunit RPC10
UniProtKB:Q96AH8	RAB7B	Ras-related protein Rab-7b
UniProtKB:Q04206	RELA	Transcription factor p65
UniProtKB:O95267	RASGRP1	RAS guanyl-releasing protein 1
UniProtKB:O95263	PDE8B	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B
UniProtKB:O95256	IL18RAP	Interleukin-18 receptor accessory protein
UniProtKB:P30411	BDKRB2	B2 bradykinin receptor
UniProtKB:Q14457	BECN1	Beclin-1
UniProtKB:P22736	NR4A1	Nuclear receptor subfamily 4immunitygroup A member 1
UniProtKB:P05231	IL6	Interleukin-6
UniProtKB:Q8NB16	MLKL	Mixed lineage kinase domain-like protein
UniProtKB:P05204	HMGN2	Non-histone chromosomal protein HMG-17
UniProtKB:P49913	CAMP	Cathelicidin antimicrobial peptide
UniProtKB:Q95460	MR1	Major histocompatibility complex class I-related gene protein
UniProtKB:P20160	AZU1	Azurocidin
UniProtKB:I1YAP6	TRIM77	Tripartite motif-containing protein 77
UniProtKB:Q9H3Q1	CDC42EP4	Cdc42 effector protein 4
UniProtKB:Q9NP55	BPIFA1	BPI fold-containing family A member 1
UniProtKB:Q9ULY5	CLEC4E	C-type lectin domain family 4 member E
UniProtKB:Q9ULZ3	PYCARD	Apoptosis-associated speck-like protein containing a CARD
UniProtKB:Q16878	CDO1	Cysteine dioxygenase type 1
UniProtKB:Q8NG06	TRIM58	E3 ubiquitin-protein ligase TRIM58
UniProtKB:Q9Y5A9	YTHDF2	YTH domain-containing family protein 2
UniProtKB:Q9Y5A7	NUB1	NEDD8 ultimate buster 1
UniProtKB:Q96EE3	SEH1L	Nucleoporin SEH1
UniProtKB:O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7
UniProtKB:P07357	C8A	Complement component C8 alpha chain
UniProtKB:Q96EH8	NEURL3	E3 ubiquitin-protein ligase NEURL3
UniProtKB:Q9NX09	DDIT4	DNA damage-inducible transcript 4 protein
UniProtKB:P27361	MAPK3	Mitogen-activated protein kinase 3
UniProtKB:P0C0L5	C4B	Complement C4-B
UniProtKB:P0C0L4	C4A	Complement C4-A
UniProtKB:Q9Y572	RIPK3	Receptor-interacting serine/threonine-protein kinase 3
UniProtKB:Q96EP0	RNF31	E3 ubiquitin-protein ligase RNF31
UniProtKB:Q9Y535	POLR3H	DNA-directed RNA polymerase III subunit RPC8
UniProtKB:Q04637	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1
UniProtKB:Q8NI17	IL31RA	Interleukin-31 receptor subunit alpha
UniProtKB:Q9NX57	RAB20	Ras-related protein Rab-20
UniProtKB:Q9Y4P8	WIPI2	WD repeat domain phosphoinositide-interacting protein 2
UniProtKB:Q5GAN6	RNASE10	Inactive ribonuclease-like protein 10
UniProtKB:Q5GAN4	RNASE12	Probable inactive ribonuclease-like protein 12
UniProtKB:Q5GAN3	RNASE13	Probable inactive ribonuclease-like protein 13
UniProtKB:Q9NX74	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
UniProtKB:P42226	STAT6	Signal transducer and activator of transcription 6
UniProtKB:P42224	STAT1	Signal transducer and activator of transcription 1-alpha/beta
UniProtKB:Q8NEX6	WFDC11	Protein WFDC11
UniProtKB:Q8NEX5	WFDC9	Protein WFDC9
UniProtKB:Q6XLA1	CASC2	Protein CASC2, isoform 3
UniProtKB:P10914	IRF1	Interferon regulatory factor 1
UniProtKB:Q96BZ4	PLD4	5'-3' exonuclease PLD4
UniProtKB:O75179	ANKRD17	Ankyrin repeat domain-containing protein 17
UniProtKB:Q9BYJ4	TRIM34	E3 ubiquitin-protein ligase TRIM34
UniProtKB:Q9H171	ZBP1	Z-DNA-binding protein 1
UniProtKB:O95497	VNN1	Pantetheinase
UniProtKB:Q16581	C3AR1	C3a anaphylatoxin chemotactic receptor
UniProtKB:O95461	LARGE1	Xylosyl- and glucuronyltransferase LARGE1
UniProtKB:O60315	ZEB2	Zinc finger E-box-binding homeobox 2
UniProtKB:Q8ND90	PNMA1	Paraneoplastic antigen Ma1
UniProtKB:Q9Y2K1	ZBTB1	Zinc finger and BTB domain-containing protein 1
UniProtKB:P10153	RNASE2	Non-secretory ribonuclease
UniProtKB:P10147	CCL3	C-C motif chemokine 3
UniProtKB:P10145	CXCL8	Interleukin-8
UniProtKB:P10144	GZMB	Granzyme B
UniProtKB:P25942	CD40	Tumor necrosis factor receptor superfamily member 5
UniProtKB:Q30KR1	DEFB109B	Putative beta-defensin 109B
UniProtKB:Q8NCU7	C2CD4A	C2 calcium-dependent domain-containing protein 4A
UniProtKB:Q30KQ9	DEFB110	Beta-defensin 110
UniProtKB:Q30KQ8	DEFB112	Beta-defensin 112
UniProtKB:Q30KQ7	DEFB113	Beta-defensin 113
UniProtKB:Q30KQ6	DEFB114	Beta-defensin 114
UniProtKB:Q30KQ5	DEFB115	Beta-defensin 115
UniProtKB:Q30KQ4	DEFB116	Beta-defensin 116
UniProtKB:Q30KQ1	DEFB133	Beta-defensin 133
UniProtKB:Q8ND56	LSM14A	Protein LSM14 homolog A
UniProtKB:Q30KP9	DEFB135	Beta-defensin 135
UniProtKB:Q30KP8	DEFB136	Defensin beta 136
UniProtKB:Q5D1E8	ZC3H12A	Endoribonuclease ZC3H12A
UniProtKB:P05451	REG1A	Lithostathine-1-alpha
UniProtKB:Q9H1E1	RNASE7	Ribonuclease 7
UniProtKB:Q14653	IRF3	Interferon regulatory factor 3
UniProtKB:P05423	POLR3D	DNA-directed RNA polymerase III subunit RPC4
UniProtKB:Q9P126	CLEC1B	C-type lectin domain family 1 member B
UniProtKB:Q14624	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4
UniProtKB:Q96A37	RNF166	E3 ubiquitin-protein ligase RNF166
UniProtKB:Q5W188	CST9LP1	Putative cystatin-9-like protein CST9LP1
UniProtKB:Q5W186	CST9	Cystatin-9
UniProtKB:Q96A08	H2BC1	Histone H2B type 1-A
UniProtKB:Q6AZZ1	TRIM68	E3 ubiquitin-protein ligase TRIM68
UniProtKB:Q96F44	TRIM11	E3 ubiquitin-protein ligase TRIM11
UniProtKB:P20366	TAC1	Protachykinin-1
UniProtKB:Q9UK33	ZNF580	Zinc finger protein 580
UniProtKB:Q9H1M3	DEFB129	Beta-defensin 129
UniProtKB:Q9H1M4	DEFB127	Beta-defensin 127
UniProtKB:P49768	PSEN1	Presenilin-1
UniProtKB:P12319	FCER1A	High affinity immunoglobulin epsilon receptor subunit alpha
UniProtKB:A0A096LNP1	DEFB131B	Beta-defensin 131B
UniProtKB:Q8NCG5	CHST4	Carbohydrate sulfotransferase 4
UniProtKB:P19087	GNAT2	Guanine nucleotide-binding protein G(t) subunit alpha-2
UniProtKB:Q9Y277	VDAC3	Voltage-dependent anion-selective channel protein 3
UniProtKB:Q9Y271	CYSLTR1	Cysteinyl leukotriene receptor 1
UniProtKB:Q9P0V8	SLAMF8	SLAM family member 8
UniProtKB:Q9Y239	NOD1	Nucleotide-binding oligomerization domain-containing protein 1
UniProtKB:Q9Y238	DLEC1	Deleted in lung and esophageal cancer protein 1
UniProtKB:Q16663	CCL15	C-C motif chemokine 15
UniProtKB:P57764	GSDMD	Gasdermin-D
UniProtKB:P41218	MNDA	Myeloid cell nuclear differentiation antigen
UniProtKB:O95373	IPO7	Importin-7
UniProtKB:P30542	ADORA1	Adenosine receptor A1
UniProtKB:P57730	CARD18	Caspase recruitment domain-containing protein 18
UniProtKB:Q01085	TIAL1	Nucleolysin TIAR
UniProtKB:Q96KG9	SCYL1	N-terminal kinase-like protein
UniProtKB:P12318	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a
UniProtKB:P12314	FCGR1A	High affinity immunoglobulin gamma Fc receptor I
UniProtKB:Q16853	AOC3	Amine oxidase [copper-containing] 3
UniProtKB:P20333	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B
UniProtKB:Q16820	MEP1B	Meprin A subunit beta
UniProtKB:P09326	CD48	CD48 antigen
UniProtKB:Q32MK0	MYLK3	Myosin light chain kinase 3
UniProtKB:Q9P0M4	IL17C	Interleukin-17C
UniProtKB:O43293	DAPK3	Death-associated protein kinase 3
UniProtKB:Q9NPH3	IL1RAP	Interleukin-1 receptor accessory protein
UniProtKB:P29274	ADORA2A	Adenosine receptor A2a
UniProtKB:Q9NPF7	IL23A	Interleukin-23 subunit alpha
UniProtKB:Q93091	RNASE6	Ribonuclease K6
UniProtKB:O75113	N4BP1	NEDD4-binding protein 1
UniProtKB:Q8NEV9	IL27	Interleukin-27 subunit alpha
UniProtKB:P10321	HLA-C	HLA class I histocompatibility antigen, C alpha chain
UniProtKB:Q8NET5	NFAM1	NFAT activation molecule 1
UniProtKB:Q8NET1	DEFB108B	Beta-defensin 108B
UniProtKB:O75144	ICOSLG	ICOS ligand
UniProtKB:P20592	MX2	Interferon-induced GTP-binding protein Mx2
UniProtKB:P20591	MX1	Interferon-induced GTP-binding protein Mx1
UniProtKB:Q9BUI4	POLR3C	DNA-directed RNA polymerase III subunit RPC3
UniProtKB:Q96BN8	OTULIN	Ubiquitin thioesterase otulin
UniProtKB:P00746	CFD	Complement factor D
UniProtKB:Q9UDY8	MALT1	Mucosa-associated lymphoid tissue lymphoma translocation protein 1
UniProtKB:Q9UDY6	TRIM10	Tripartite motif-containing protein 10
UniProtKB:P00751	CFB	Complement factor B
UniProtKB:Q9Y3Z3	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1
UniProtKB:Q9UHX3	ADGRE2	Adhesion G protein-coupled receptor E2
UniProtKB:Q9Y473	ZNF175	Zinc finger protein 175
UniProtKB:Q6IAN0	DHRS7B	Dehydrogenase/reductase SDR family member 7B
UniProtKB:P42830	CXCL5	C-X-C motif chemokine 5
UniProtKB:P22362	CCL1	C-C motif chemokine 1
UniProtKB:Q9UKK3	PARP4	Protein mono-ADP-ribosyltransferase PARP4
UniProtKB:P17693	HLA-G	HLA class I histocompatibility antigen, alpha chain G
UniProtKB:P17676	CEBPB	CCAAT/enhancer-binding protein beta
UniProtKB:Q9H2A7	CXCL16	C-X-C motif chemokine 16
UniProtKB:P22309	UGT1A1	UDP-glucuronosyltransferase 1A1
UniProtKB:P22301	IL10	Interleukin-10
UniProtKB:P10909	CLU	Clusterin
UniProtKB:O43866	CD5L	CD5 antigen-like
UniProtKB:P02765	AHSG	Alpha-2-HS-glycoprotein
UniProtKB:O75388	GPR32	Probable G-protein coupled receptor 32
UniProtKB:Q06330	RBPJ	Recombining binding protein suppressor of hairless
UniProtKB:Q9H293	IL25	Interleukin-25
UniProtKB:O43820	HYAL3	Hyaluronidase-3
UniProtKB:Q5VX71	SUSD4	Sushi domain-containing protein 4
UniProtKB:Q8IZ81	ELMOD2	ELMO domain-containing protein 2
UniProtKB:O00421	CCRL2	C-C chemokine receptor-like 2
UniProtKB:O94919	ENDOD1	Endonuclease domain-containing 1 protein
UniProtKB:Q6UWK7	GPR15LG	Protein GPR15LG
UniProtKB:A1E959	ODAM	Odontogenic ameloblast-associated protein
UniProtKB:Q8IZ20	ZNF683	Tissue-resident T-cell transcription regulator protein ZNF683
UniProtKB:Q86YW5	TREML1	Trem-like transcript 1 protein
UniProtKB:Q99558	MAP3K14	Mitogen-activated protein kinase kinase kinase 14
UniProtKB:Q8IYM9	TRIM22	E3 ubiquitin-protein ligase TRIM22
UniProtKB:Q86YS6	RAB43	Ras-related protein Rab-43
UniProtKB:Q99527	GPER1	G-protein coupled estrogen receptor 1
UniProtKB:Q99500	S1PR3	Sphingosine 1-phosphate receptor 3
UniProtKB:P26583	HMGB2	High mobility group protein B2
UniProtKB:Q6UWB1	IL27RA	Interleukin-27 receptor subunit alpha
UniProtKB:P16619	CCL3L1	C-C motif chemokine 3-like 1
UniProtKB:Q6XE24	RBMS3	RNA-binding motif, single-stranded-interacting protein 3
UniProtKB:Q99835	SMO	Protein smoothened
UniProtKB:Q99836	MYD88	Myeloid differentiation primary response protein MyD88
UniProtKB:P01100	FOS	Protein c-Fos
UniProtKB:P58753	TIRAP	Toll/interleukin-1 receptor domain-containing adapter protein
UniProtKB:P06396	GSN	Gelsolin
UniProtKB:P06702	S100A9	Protein S100-A9
UniProtKB:Q5TA77	LCE3B	Late cornified envelope protein 3B
UniProtKB:Q5TA76	LCE3A	Late cornified envelope protein 3A
UniProtKB:P06746	POLB	DNA polymerase beta
UniProtKB:P16581	SELE	E-selectin
UniProtKB:O00635	TRIM38	E3 ubiquitin-protein ligase TRIM38
UniProtKB:O00626	CCL22	C-C motif chemokine 22
UniProtKB:O00602	FCN1	Ficolin-1
UniProtKB:Q99788	CMKLR1	Chemerin-like receptor 1
UniProtKB:Q96E93	KLRG1	Killer cell lectin-like receptor subfamily G member 1
UniProtKB:Q5J5C9	DEFB121	Beta-defensin 121
UniProtKB:P01857	IGHG1	Immunoglobulin heavy constant gamma 1
UniProtKB:Q9BZP6	CHIA	Acidic mammalian chitinase
UniProtKB:P01871	IGHM	Immunoglobulin heavy constant mu
UniProtKB:P01876	IGHA1	Immunoglobulin heavy constant alpha 1
UniProtKB:Q8IUD6	RNF135	E3 ubiquitin-protein ligase RNF135
UniProtKB:Q8IUC6	TICAM1	TIR domain-containing adapter molecule 1
UniProtKB:Q9BZM6	ULBP1	UL16-binding protein 1
UniProtKB:Q9BZM5	ULBP2	UL16-binding protein 2
UniProtKB:Q9BZM2	PLA2G2F	Group IIF secretory phospholipase A2
UniProtKB:Q8IUB5	WFDC13	WAP four-disulfide core domain protein 13
UniProtKB:Q8IUB3	WFDC10B	Protein WFDC10B
UniProtKB:Q8IUB2	WFDC3	WAP four-disulfide core domain protein 3
UniProtKB:Q8TAD2	IL17D	Interleukin-17D
UniProtKB:A8MXU0	DEFB108A	Putative beta-defensin 108A
UniProtKB:Q8TAA1	RNASE11	Probable ribonuclease 11
UniProtKB:Q8IU85	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D
UniProtKB:Q8IU57	IFNLR1	Interferon lambda receptor 1
UniProtKB:Q8IU54	IFNL1	Interferon lambda-1
UniProtKB:P04439	HLA-A	HLA class I histocompatibility antigen, A alpha chain
UniProtKB:Q6SZW1	SARM1	NAD(+) hydrolase SARM1
UniProtKB:Q9BYX4	IFIH1	Interferon-induced helicase C domain-containing protein 1
UniProtKB:P04406	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase
UniProtKB:Q13618	CUL3	Cullin-3
UniProtKB:Q9BYW3	DEFB126	Beta-defensin 126
UniProtKB:Q9BYW2	SETD2	Histone-lysine N-methyltransferase SETD2
UniProtKB:Q86U44	METTL3	N6-adenosine-methyltransferase catalytic subunit
