RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:Q5T764	IFIT1B	Interferon-induced protein with tetratricopeptide repeats 1B
UniProtKB:Q496M5	PLK5	Inactive serine/threonine-protein kinase PLK5
UniProtKB:O15467	CCL16	C-C motif chemokine 16
UniProtKB:P56524	HDAC4	Histone deacetylase 4
UniProtKB:O15455	TLR3	Toll-like receptor 3
UniProtKB:P04196	HRG	Histidine-rich glycoprotein
UniProtKB:O15444	CCL25	C-C motif chemokine 25
UniProtKB:P04150	NR3C1	Glucocorticoid receptor
UniProtKB:P19957	PI3	Elafin
UniProtKB:Q9NZ20	PLA2G3	Group 3 secretory phospholipase A2
UniProtKB:Q6PJ69	TRIM65	E3 ubiquitin-protein ligase TRIM65
UniProtKB:Q13325	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5
UniProtKB:P35225	IL13	Interleukin-13
UniProtKB:Q9GZZ8	LACRT	Extracellular glycoprotein lacritin
UniProtKB:P09529	INHBB	Inhibin beta B chain
UniProtKB:Q9GZX7	AICDA	Single-stranded DNA cytosine deaminase
UniProtKB:Q9GZX6	IL22	Interleukin-22
UniProtKB:Q9NWZ3	IRAK4	Interleukin-1 receptor-associated kinase 4
UniProtKB:Q9BUD6	SPON2	Spondin-2
UniProtKB:O15263	DEFB4A	Defensin beta 4A
UniProtKB:O15240	VGF	Neurosecretory protein VGF
UniProtKB:Q96RI1	NR1H4	Bile acid receptor
UniProtKB:Q13158	FADD	FAS-associated death domain protein
UniProtKB:Q13151	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0
UniProtKB:P35408	PTGER4	Prostaglandin E2 receptor EP4 subtype
UniProtKB:Q13137	CALCOCO2	Calcium-binding and coiled-coil domain-containing protein 2
UniProtKB:Q9NX02	NLRP2	NACHT, LRR and PYD domains-containing protein 2
UniProtKB:E0CX11	STMP1	Short transmembrane mitochondrial protein 1
UniProtKB:P46094	XCR1	Chemokine XC receptor 1
UniProtKB:Q13114	TRAF3	TNF receptor-associated factor 3
UniProtKB:P02790	HPX	Hemopexin
UniProtKB:P14174	MIF	Macrophage migration inhibitory factor
UniProtKB:P02786	TFRC	Transferrin receptor protein 1
UniProtKB:O60880	SH2D1A	SH2 domain-containing protein 1A
UniProtKB:P29972	AQP1	Aquaporin-1
UniProtKB:Q6H3X3	RAET1G	UL-16 binding protein 5
UniProtKB:Q9NUL5	SHFL	Shiftless antiviral inhibitor of ribosomal frameshifting protein
UniProtKB:Q08211	DHX9	ATP-dependent RNA helicase A
UniProtKB:Q9C030	TRIM6	Tripartite motif-containing protein 6
UniProtKB:Q9NUE0	ZDHHC18	Palmitoyltransferase ZDHHC18
UniProtKB:Q9NUD5	ZCCHC3	Zinc finger CCHC domain-containing protein 3
UniProtKB:O60636	TSPAN2	Tetraspanin-2
UniProtKB:P02538	KRT6A	Keratin, type II cytoskeletal 6A
UniProtKB:P29728	OAS2	2'-5'-oligoadenylate synthase 2
UniProtKB:P09237	MMP7	Matrilysin
UniProtKB:Q96P20	NLRP3	NACHT, LRR and PYD domains-containing protein 3
