deg	cis_driven	Class	Tissue	Trait	gene
JAZF1	0	Not_cis-driven	Ovary	Age	JAZF1
CREB5	0	Not_cis-driven	Ovary	Age	CREB5
TRIL	0	Not_cis-driven	Ovary	Age	TRIL
AQP1	0	Not_cis-driven	Ovary	Age	AQP1
ELMO1	0	Not_cis-driven	Ovary	Age	ELMO1
YAE1D1	0	Not_cis-driven	Ovary	Age	YAE1D1
COBL	0	Not_cis-driven	Ovary	Age	COBL
EGFR	1	Cis-driven	Ovary	Age	EGFR
MLXIPL	0	Not_cis-driven	Ovary	Age	MLXIPL
HIP1	0	Not_cis-driven	Ovary	Age	HIP1
SEMA3A	0	Not_cis-driven	Ovary	Age	SEMA3A
CDK14	0	Not_cis-driven	Ovary	Age	CDK14
FZD1	0	Not_cis-driven	Ovary	Age	FZD1
MCM7	0	Not_cis-driven	Ovary	Age	MCM7
STAG3	1	Cis-driven	Ovary	Age	STAG3
PCOLCE	0	Not_cis-driven	Ovary	Age	PCOLCE
ALKBH4	0	Not_cis-driven	Ovary	Age	ALKBH4
CDHR3	0	Not_cis-driven	Ovary	Age	CDHR3
NAMPT	0	Not_cis-driven	Ovary	Age	NAMPT
PRKAR2B	0	Not_cis-driven	Ovary	Age	PRKAR2B
COG5	0	Not_cis-driven	Ovary	Age	COG5
BCAP29	1	Cis-driven	Ovary	Age	BCAP29
FOXP2	0	Not_cis-driven	Ovary	Age	FOXP2
CALD1	0	Not_cis-driven	Ovary	Age	CALD1
LUC7L2	1	Cis-driven	Ovary	Age	LUC7L2
PARP12	0	Not_cis-driven	Ovary	Age	PARP12
EPHB6	0	Not_cis-driven	Ovary	Age	EPHB6
ZNF212	0	Not_cis-driven	Ovary	Age	ZNF212
ZNF777	0	Not_cis-driven	Ovary	Age	ZNF777
ZNF746	1	Cis-driven	Ovary	Age	ZNF746
ZNF467	0	Not_cis-driven	Ovary	Age	ZNF467
GIMAP6	0	Not_cis-driven	Ovary	Age	GIMAP6
TMEM176B	0	Not_cis-driven	Ovary	Age	TMEM176B
EN2	1	Cis-driven	Ovary	Age	EN2
PTPRN2	0	Not_cis-driven	Ovary	Age	PTPRN2
MCPH1	0	Not_cis-driven	Ovary	Age	MCPH1
ANGPT2	0	Not_cis-driven	Ovary	Age	ANGPT2
MSRA	0	Not_cis-driven	Ovary	Age	MSRA
SOX7	0	Not_cis-driven	Ovary	Age	SOX7
XPO7	0	Not_cis-driven	Ovary	Age	XPO7
REEP4	0	Not_cis-driven	Ovary	Age	REEP4
BIN3	0	Not_cis-driven	Ovary	Age	BIN3
PEBP4	0	Not_cis-driven	Ovary	Age	PEBP4
RHOBTB2	0	Not_cis-driven	Ovary	Age	RHOBTB2
TNFRSF10B	0	Not_cis-driven	Ovary	Age	TNFRSF10B
NEFM	0	Not_cis-driven	Ovary	Age	NEFM
DOCK5	0	Not_cis-driven	Ovary	Age	DOCK5
ADRA1A	1	Cis-driven	Ovary	Age	ADRA1A
CLU	0	Not_cis-driven	Ovary	Age	CLU
FBXO16	0	Not_cis-driven	Ovary	Age	FBXO16
DUSP26	1	Cis-driven	Ovary	Age	DUSP26
PLEKHA2	0	Not_cis-driven	Ovary	Age	PLEKHA2
SGK3	0	Not_cis-driven	Ovary	Age	SGK3
TMEM70	0	Not_cis-driven	Ovary	Age	TMEM70
PAG1	0	Not_cis-driven	Ovary	Age	PAG1
FABP4	0	Not_cis-driven	Ovary	Age	FABP4
PDP1	0	Not_cis-driven	Ovary	Age	PDP1
MTERF3	0	Not_cis-driven	Ovary	Age	MTERF3
LAPTM4B	1	Cis-driven	Ovary	Age	LAPTM4B
RIMS2	0	Not_cis-driven	Ovary	Age	RIMS2
SYBU	0	Not_cis-driven	Ovary	Age	SYBU
RAD21	0	Not_cis-driven	Ovary	Age	RAD21
SNTB1	0	Not_cis-driven	Ovary	Age	SNTB1
C8orf76	0	Not_cis-driven	Ovary	Age	C8orf76
ANXA13	0	Not_cis-driven	Ovary	Age	ANXA13
MTSS1	0	Not_cis-driven	Ovary	Age	MTSS1
FAM84B	0	Not_cis-driven	Ovary	Age	FAM84B
ASAP1	0	Not_cis-driven	Ovary	Age	ASAP1
LRRC6	0	Not_cis-driven	Ovary	Age	LRRC6
TRAPPC9	0	Not_cis-driven	Ovary	Age	TRAPPC9
PTK2	0	Not_cis-driven	Ovary	Age	PTK2
ADGRB1	0	Not_cis-driven	Ovary	Age	ADGRB1
ZC3H3	0	Not_cis-driven	Ovary	Age	ZC3H3
ZNF7	1	Cis-driven	Ovary	Age	ZNF7
CD274	0	Not_cis-driven	Ovary	Age	CD274
SH3GL2	0	Not_cis-driven	Ovary	Age	SH3GL2
ADAMTSL1	0	Not_cis-driven	Ovary	Age	ADAMTSL1
B4GALT1	0	Not_cis-driven	Ovary	Age	B4GALT1
RPP25L	0	Not_cis-driven	Ovary	Age	RPP25L
UNC13B	0	Not_cis-driven	Ovary	Age	UNC13B
CD72	0	Not_cis-driven	Ovary	Age	CD72
TRPM3	0	Not_cis-driven	Ovary	Age	TRPM3
GNAQ	0	Not_cis-driven	Ovary	Age	GNAQ
FRMD3	0	Not_cis-driven	Ovary	Age	FRMD3
DAPK1	0	Not_cis-driven	Ovary	Age	DAPK1
ROR2	0	Not_cis-driven	Ovary	Age	ROR2
PTPDC1	0	Not_cis-driven	Ovary	Age	PTPDC1
FANCC	0	Not_cis-driven	Ovary	Age	FANCC
PTCH1	0	Not_cis-driven	Ovary	Age	PTCH1
AAED1	0	Not_cis-driven	Ovary	Age	AAED1
ANP32B	0	Not_cis-driven	Ovary	Age	ANP32B
ABCA1	0	Not_cis-driven	Ovary	Age	ABCA1
COL27A1	0	Not_cis-driven	Ovary	Age	COL27A1
PAPPA	0	Not_cis-driven	Ovary	Age	PAPPA
PHF19	1	Cis-driven	Ovary	Age	PHF19
LHX6	0	Not_cis-driven	Ovary	Age	LHX6
PDCL	0	Not_cis-driven	Ovary	Age	PDCL
OLFML2A	0	Not_cis-driven	Ovary	Age	OLFML2A
STXBP1	0	Not_cis-driven	Ovary	Age	STXBP1
SH2D3C	0	Not_cis-driven	Ovary	Age	SH2D3C
AK1	0	Not_cis-driven	Ovary	Age	AK1
AIF1L	0	Not_cis-driven	Ovary	Age	AIF1L
NUP214	1	Cis-driven	Ovary	Age	NUP214
FAM78A	0	Not_cis-driven	Ovary	Age	FAM78A
GTF3C4	0	Not_cis-driven	Ovary	Age	GTF3C4
VAV2	0	Not_cis-driven	Ovary	Age	VAV2
KCNT1	0	Not_cis-driven	Ovary	Age	KCNT1
NOTCH1	0	Not_cis-driven	Ovary	Age	NOTCH1
EGFL7	0	Not_cis-driven	Ovary	Age	EGFL7
FAM69B	0	Not_cis-driven	Ovary	Age	FAM69B
PNPLA7	0	Not_cis-driven	Ovary	Age	PNPLA7
DPH7	0	Not_cis-driven	Ovary	Age	DPH7
EHMT1	0	Not_cis-driven	Ovary	Age	EHMT1
PFKP	0	Not_cis-driven	Ovary	Age	PFKP
UPF2	0	Not_cis-driven	Ovary	Age	UPF2
CAMK1D	0	Not_cis-driven	Ovary	Age	CAMK1D
FAM107B	0	Not_cis-driven	Ovary	Age	FAM107B
PLXDC2	0	Not_cis-driven	Ovary	Age	PLXDC2
BMI1	0	Not_cis-driven	Ovary	Age	BMI1
PIP4K2A	0	Not_cis-driven	Ovary	Age	PIP4K2A
MPP7	0	Not_cis-driven	Ovary	Age	MPP7
NRP1	0	Not_cis-driven	Ovary	Age	NRP1
CREM	0	Not_cis-driven	Ovary	Age	CREM
PRKG1	0	Not_cis-driven	Ovary	Age	PRKG1
HK1	0	Not_cis-driven	Ovary	Age	HK1
PALD1	0	Not_cis-driven	Ovary	Age	PALD1
CDH23	0	Not_cis-driven	Ovary	Age	CDH23
SPOCK2	0	Not_cis-driven	Ovary	Age	SPOCK2
COMTD1	0	Not_cis-driven	Ovary	Age	COMTD1
DLG5	0	Not_cis-driven	Ovary	Age	DLG5
RNLS	0	Not_cis-driven	Ovary	Age	RNLS
HHEX	0	Not_cis-driven	Ovary	Age	HHEX
EXOC6	0	Not_cis-driven	Ovary	Age	EXOC6
CRTAC1	0	Not_cis-driven	Ovary	Age	CRTAC1
CNNM1	0	Not_cis-driven	Ovary	Age	CNNM1
CNNM2	0	Not_cis-driven	Ovary	Age	CNNM2
SH3PXD2A	1	Cis-driven	Ovary	Age	SH3PXD2A
ITPRIP	0	Not_cis-driven	Ovary	Age	ITPRIP
ABLIM1	1	Cis-driven	Ovary	Age	ABLIM1
RGS10	0	Not_cis-driven	Ovary	Age	RGS10
FGFR2	0	Not_cis-driven	Ovary	Age	FGFR2
HTRA1	1	Cis-driven	Ovary	Age	HTRA1
OAT	0	Not_cis-driven	Ovary	Age	OAT
LHPP	0	Not_cis-driven	Ovary	Age	LHPP
ADAM12	0	Not_cis-driven	Ovary	Age	ADAM12
KNDC1	0	Not_cis-driven	Ovary	Age	KNDC1
EPS8L2	0	Not_cis-driven	Ovary	Age	EPS8L2
PNPLA2	0	Not_cis-driven	Ovary	Age	PNPLA2
TNNT3	0	Not_cis-driven	Ovary	Age	TNNT3
KCNQ1	0	Not_cis-driven	Ovary	Age	KCNQ1
PRKCDBP	0	Not_cis-driven	Ovary	Age	PRKCDBP
STK33	0	Not_cis-driven	Ovary	Age	STK33
DENND5A	2	Cis-driven	Ovary	Age	DENND5A
GALNT18	0	Not_cis-driven	Ovary	Age	GALNT18
NUCB2	0	Not_cis-driven	Ovary	Age	NUCB2
ABCC8	0	Not_cis-driven	Ovary	Age	ABCC8
NAV2	0	Not_cis-driven	Ovary	Age	NAV2
BDNF	0	Not_cis-driven	Ovary	Age	BDNF
CD59	0	Not_cis-driven	Ovary	Age	CD59
CHST1	0	Not_cis-driven	Ovary	Age	CHST1
APLNR	0	Not_cis-driven	Ovary	Age	APLNR
SLC43A1	0	Not_cis-driven	Ovary	Age	SLC43A1
YPEL4	0	Not_cis-driven	Ovary	Age	YPEL4
ZFP91	0	Not_cis-driven	Ovary	Age	ZFP91
SLC15A3	0	Not_cis-driven	Ovary	Age	SLC15A3
MYRF	0	Not_cis-driven	Ovary	Age	MYRF
TUT1	0	Not_cis-driven	Ovary	Age	TUT1
LRRN4CL	0	Not_cis-driven	Ovary	Age	LRRN4CL
MAP4K2	0	Not_cis-driven	Ovary	Age	MAP4K2
DPF2	0	Not_cis-driven	Ovary	Age	DPF2
PITPNM1	0	Not_cis-driven	Ovary	Age	PITPNM1
NDUFS8	0	Not_cis-driven	Ovary	Age	NDUFS8
CPT1A	0	Not_cis-driven	Ovary	Age	CPT1A
NUMA1	0	Not_cis-driven	Ovary	Age	NUMA1
PDE2A	0	Not_cis-driven	Ovary	Age	PDE2A
STARD10	0	Not_cis-driven	Ovary	Age	STARD10
FAM168A	1	Cis-driven	Ovary	Age	FAM168A
SLCO2B1	0	Not_cis-driven	Ovary	Age	SLCO2B1
MYO7A	0	Not_cis-driven	Ovary	Age	MYO7A
GAB2	0	Not_cis-driven	Ovary	Age	GAB2
SYTL2	0	Not_cis-driven	Ovary	Age	SYTL2
PRSS23	1	Cis-driven	Ovary	Age	PRSS23
SMCO4	0	Not_cis-driven	Ovary	Age	SMCO4
MAML2	0	Not_cis-driven	Ovary	Age	MAML2
YAP1	0	Not_cis-driven	Ovary	Age	YAP1
COLCA2	0	Not_cis-driven	Ovary	Age	COLCA2
SIK3	0	Not_cis-driven	Ovary	Age	SIK3
HINFP	0	Not_cis-driven	Ovary	Age	HINFP
MCAM	1	Cis-driven	Ovary	Age	MCAM
USP2	0	Not_cis-driven	Ovary	Age	USP2
SC5D	0	Not_cis-driven	Ovary	Age	SC5D
SORL1	0	Not_cis-driven	Ovary	Age	SORL1
CLMP	0	Not_cis-driven	Ovary	Age	CLMP
ESAM	0	Not_cis-driven	Ovary	Age	ESAM
ETS1	0	Not_cis-driven	Ovary	Age	ETS1
FLI1	0	Not_cis-driven	Ovary	Age	FLI1
APLP2	0	Not_cis-driven	Ovary	Age	APLP2
IGSF9B	0	Not_cis-driven	Ovary	Age	IGSF9B
NINJ2	0	Not_cis-driven	Ovary	Age	NINJ2
WNT5B	1	Cis-driven	Ovary	Age	WNT5B
NTF3	0	Not_cis-driven	Ovary	Age	NTF3
ANO2	0	Not_cis-driven	Ovary	Age	ANO2
VWF	0	Not_cis-driven	Ovary	Age	VWF
SCNN1A	0	Not_cis-driven	Ovary	Age	SCNN1A
ZNF384	0	Not_cis-driven	Ovary	Age	ZNF384
RBP5	1	Cis-driven	Ovary	Age	RBP5
GPRC5A	0	Not_cis-driven	Ovary	Age	GPRC5A
EPS8	0	Not_cis-driven	Ovary	Age	EPS8
MGST1	0	Not_cis-driven	Ovary	Age	MGST1
LMO3	0	Not_cis-driven	Ovary	Age	LMO3
CMAS	0	Not_cis-driven	Ovary	Age	CMAS
SOX5	0	Not_cis-driven	Ovary	Age	SOX5
BICD1	1	Cis-driven	Ovary	Age	BICD1
AMIGO2	0	Not_cis-driven	Ovary	Age	AMIGO2
KANSL2	0	Not_cis-driven	Ovary	Age	KANSL2
TROAP	0	Not_cis-driven	Ovary	Age	TROAP
KCNH3	0	Not_cis-driven	Ovary	Age	KCNH3
FMNL3	0	Not_cis-driven	Ovary	Age	FMNL3
FAIM2	0	Not_cis-driven	Ovary	Age	FAIM2
GALNT6	0	Not_cis-driven	Ovary	Age	GALNT6
KRT2	0	Not_cis-driven	Ovary	Age	KRT2
ZNF385A	0	Not_cis-driven	Ovary	Age	ZNF385A
CTDSP2	0	Not_cis-driven	Ovary	Age	CTDSP2
DYRK2	2	Cis-driven	Ovary	Age	DYRK2
PTPRB	0	Not_cis-driven	Ovary	Age	PTPRB
GLIPR1	0	Not_cis-driven	Ovary	Age	GLIPR1
KITLG	0	Not_cis-driven	Ovary	Age	KITLG
DCN	0	Not_cis-driven	Ovary	Age	DCN
CEP83	2	Cis-driven	Ovary	Age	CEP83
FGD6	0	Not_cis-driven	Ovary	Age	FGD6
ANKS1B	0	Not_cis-driven	Ovary	Age	ANKS1B
STAB2	0	Not_cis-driven	Ovary	Age	STAB2
CHST11	0	Not_cis-driven	Ovary	Age	CHST11
POLR3B	0	Not_cis-driven	Ovary	Age	POLR3B
OAS2	0	Not_cis-driven	Ovary	Age	OAS2
PLBD2	0	Not_cis-driven	Ovary	Age	PLBD2
TESC	0	Not_cis-driven	Ovary	Age	TESC
HPD	0	Not_cis-driven	Ovary	Age	HPD
HIP1R	0	Not_cis-driven	Ovary	Age	HIP1R
POLE	0	Not_cis-driven	Ovary	Age	POLE
MICU2	0	Not_cis-driven	Ovary	Age	MICU2
FGF9	0	Not_cis-driven	Ovary	Age	FGF9
FLT1	0	Not_cis-driven	Ovary	Age	FLT1
MEDAG	0	Not_cis-driven	Ovary	Age	MEDAG
NBEA	0	Not_cis-driven	Ovary	Age	NBEA
DCLK1	0	Not_cis-driven	Ovary	Age	DCLK1
TRPC4	0	Not_cis-driven	Ovary	Age	TRPC4
VWA8	0	Not_cis-driven	Ovary	Age	VWA8
ENOX1	0	Not_cis-driven	Ovary	Age	ENOX1
CYSLTR2	0	Not_cis-driven	Ovary	Age	CYSLTR2
CAB39L	0	Not_cis-driven	Ovary	Age	CAB39L
FAM124A	0	Not_cis-driven	Ovary	Age	FAM124A
DACH1	0	Not_cis-driven	Ovary	Age	DACH1
LMO7	0	Not_cis-driven	Ovary	Age	LMO7
RNF219	1	Cis-driven	Ovary	Age	RNF219
GPC6	0	Not_cis-driven	Ovary	Age	GPC6
COL4A1	0	Not_cis-driven	Ovary	Age	COL4A1
COL4A2	0	Not_cis-driven	Ovary	Age	COL4A2
MCF2L	0	Not_cis-driven	Ovary	Age	MCF2L
LAMP1	0	Not_cis-driven	Ovary	Age	LAMP1
DCUN1D2	0	Not_cis-driven	Ovary	Age	DCUN1D2
NDRG2	0	Not_cis-driven	Ovary	Age	NDRG2
SUPT16H	0	Not_cis-driven	Ovary	Age	SUPT16H
CDH24	0	Not_cis-driven	Ovary	Age	CDH24
JPH4	0	Not_cis-driven	Ovary	Age	JPH4
ADCY4	0	Not_cis-driven	Ovary	Age	ADCY4
STXBP6	0	Not_cis-driven	Ovary	Age	STXBP6
PRKD1	0	Not_cis-driven	Ovary	Age	PRKD1
NPAS3	0	Not_cis-driven	Ovary	Age	NPAS3
MAP4K5	0	Not_cis-driven	Ovary	Age	MAP4K5
RTN1	0	Not_cis-driven	Ovary	Age	RTN1
MAX	0	Not_cis-driven	Ovary	Age	MAX
DCAF5	0	Not_cis-driven	Ovary	Age	DCAF5
PSEN1	0	Not_cis-driven	Ovary	Age	PSEN1
ELMSAN1	0	Not_cis-driven	Ovary	Age	ELMSAN1
PGF	0	Not_cis-driven	Ovary	Age	PGF
C14orf1	0	Not_cis-driven	Ovary	Age	C14orf1
FOXN3	0	Not_cis-driven	Ovary	Age	FOXN3
TTC7B	0	Not_cis-driven	Ovary	Age	TTC7B
PRIMA1	0	Not_cis-driven	Ovary	Age	PRIMA1
IFI27	0	Not_cis-driven	Ovary	Age	IFI27
SYNE3	0	Not_cis-driven	Ovary	Age	SYNE3
DLK1	0	Not_cis-driven	Ovary	Age	DLK1
MEG3	0	Not_cis-driven	Ovary	Age	MEG3
TECPR2	0	Not_cis-driven	Ovary	Age	TECPR2
CDC42BPB	1	Cis-driven	Ovary	Age	CDC42BPB
PPP1R13B	0	Not_cis-driven	Ovary	Age	PPP1R13B
INF2	0	Not_cis-driven	Ovary	Age	INF2
AHNAK2	0	Not_cis-driven	Ovary	Age	AHNAK2
UBE3A	0	Not_cis-driven	Ovary	Age	UBE3A
ATP10A	0	Not_cis-driven	Ovary	Age	ATP10A
GPR176	0	Not_cis-driven	Ovary	Age	GPR176
PAK6	0	Not_cis-driven	Ovary	Age	PAK6
TYRO3	0	Not_cis-driven	Ovary	Age	TYRO3
CTDSPL2	0	Not_cis-driven	Ovary	Age	CTDSPL2
MYEF2	0	Not_cis-driven	Ovary	Age	MYEF2
DTWD1	0	Not_cis-driven	Ovary	Age	DTWD1
TNFAIP8L3	0	Not_cis-driven	Ovary	Age	TNFAIP8L3
DMXL2	0	Not_cis-driven	Ovary	Age	DMXL2
MYO5C	0	Not_cis-driven	Ovary	Age	MYO5C
PRTG	0	Not_cis-driven	Ovary	Age	PRTG
MYO1E	0	Not_cis-driven	Ovary	Age	MYO1E
USP3	0	Not_cis-driven	Ovary	Age	USP3
DAPK2	0	Not_cis-driven	Ovary	Age	DAPK2
SNX1	1	Cis-driven	Ovary	Age	SNX1
SMAD6	0	Not_cis-driven	Ovary	Age	SMAD6
SMAD3	0	Not_cis-driven	Ovary	Age	SMAD3
ANP32A	0	Not_cis-driven	Ovary	Age	ANP32A
KIF23	0	Not_cis-driven	Ovary	Age	KIF23
C15orf59	0	Not_cis-driven	Ovary	Age	C15orf59
LOXL1	0	Not_cis-driven	Ovary	Age	LOXL1
STRA6	0	Not_cis-driven	Ovary	Age	STRA6
PTPN9	0	Not_cis-driven	Ovary	Age	PTPN9
CTSH	0	Not_cis-driven	Ovary	Age	CTSH
TMED3	0	Not_cis-driven	Ovary	Age	TMED3
MESDC2	1	Cis-driven	Ovary	Age	MESDC2
MEX3B	0	Not_cis-driven	Ovary	Age	MEX3B
CPEB1	0	Not_cis-driven	Ovary	Age	CPEB1
NMB	0	Not_cis-driven	Ovary	Age	NMB
PDE8A	0	Not_cis-driven	Ovary	Age	PDE8A
ISG20	0	Not_cis-driven	Ovary	Age	ISG20
SLCO3A1	0	Not_cis-driven	Ovary	Age	SLCO3A1
RGMA	0	Not_cis-driven	Ovary	Age	RGMA
SYNM	0	Not_cis-driven	Ovary	Age	SYNM
ASB7	0	Not_cis-driven	Ovary	Age	ASB7
ABCA3	0	Not_cis-driven	Ovary	Age	ABCA3
CCNF	0	Not_cis-driven	Ovary	Age	CCNF
GLIS2-AS1	0	Not_cis-driven	Ovary	Age	GLIS2-AS1
TVP23A	0	Not_cis-driven	Ovary	Age	TVP23A
TXNDC11	1	Cis-driven	Ovary	Age	TXNDC11
SCNN1B	0	Not_cis-driven	Ovary	Age	SCNN1B
GGA2	0	Not_cis-driven	Ovary	Age	GGA2
PLK1	0	Not_cis-driven	Ovary	Age	PLK1
QPRT	0	Not_cis-driven	Ovary	Age	QPRT
MVP	0	Not_cis-driven	Ovary	Age	MVP
PHKB	0	Not_cis-driven	Ovary	Age	PHKB
SALL1	0	Not_cis-driven	Ovary	Age	SALL1
CPNE2	0	Not_cis-driven	Ovary	Age	CPNE2
POLR2C	1	Cis-driven	Ovary	Age	POLR2C
KIFC3	0	Not_cis-driven	Ovary	Age	KIFC3
CNOT1	1	Cis-driven	Ovary	Age	CNOT1
CDH5	0	Not_cis-driven	Ovary	Age	CDH5
CES4A	0	Not_cis-driven	Ovary	Age	CES4A
FAM65A	0	Not_cis-driven	Ovary	Age	FAM65A
THAP11	1	Cis-driven	Ovary	Age	THAP11
NRN1L	0	Not_cis-driven	Ovary	Age	NRN1L
ZFP90	0	Not_cis-driven	Ovary	Age	ZFP90
FUK	0	Not_cis-driven	Ovary	Age	FUK
VAC14	0	Not_cis-driven	Ovary	Age	VAC14
GLG1	0	Not_cis-driven	Ovary	Age	GLG1
CDYL2	0	Not_cis-driven	Ovary	Age	CDYL2
CMIP	0	Not_cis-driven	Ovary	Age	CMIP
PLCG2	0	Not_cis-driven	Ovary	Age	PLCG2
MPHOSPH6	0	Not_cis-driven	Ovary	Age	MPHOSPH6
NECAB2	0	Not_cis-driven	Ovary	Age	NECAB2
WFDC1	0	Not_cis-driven	Ovary	Age	WFDC1
IRF8	0	Not_cis-driven	Ovary	Age	IRF8
SLC7A5	0	Not_cis-driven	Ovary	Age	SLC7A5
ZC3H18	0	Not_cis-driven	Ovary	Age	ZC3H18
PIEZO1	0	Not_cis-driven	Ovary	Age	PIEZO1
CBFA2T3	0	Not_cis-driven	Ovary	Age	CBFA2T3
CPNE7	0	Not_cis-driven	Ovary	Age	CPNE7
VPS9D1	0	Not_cis-driven	Ovary	Age	VPS9D1
SCARF1	0	Not_cis-driven	Ovary	Age	SCARF1
WDR81	0	Not_cis-driven	Ovary	Age	WDR81
SERPINF1	1	Cis-driven	Ovary	Age	SERPINF1
HIC1	0	Not_cis-driven	Ovary	Age	HIC1
SMTNL2	0	Not_cis-driven	Ovary	Age	SMTNL2
C17orf49	0	Not_cis-driven	Ovary	Age	C17orf49
BCL6B	1	Cis-driven	Ovary	Age	BCL6B
SLC16A13	0	Not_cis-driven	Ovary	Age	SLC16A13
ACADVL	1	Cis-driven	Ovary	Age	ACADVL
KCTD11	0	Not_cis-driven	Ovary	Age	KCTD11
ARHGEF15	0	Not_cis-driven	Ovary	Age	ARHGEF15
PIK3R6	0	Not_cis-driven	Ovary	Age	PIK3R6
MYOCD	0	Not_cis-driven	Ovary	Age	MYOCD
HS3ST3A1	0	Not_cis-driven	Ovary	Age	HS3ST3A1
PMP22	0	Not_cis-driven	Ovary	Age	PMP22
MPRIP	0	Not_cis-driven	Ovary	Age	MPRIP
PLD6	0	Not_cis-driven	Ovary	Age	PLD6
SPECC1	0	Not_cis-driven	Ovary	Age	SPECC1
NOS2	0	Not_cis-driven	Ovary	Age	NOS2
PHF12	0	Not_cis-driven	Ovary	Age	PHF12
ANKRD13B	0	Not_cis-driven	Ovary	Age	ANKRD13B
BLMH	0	Not_cis-driven	Ovary	Age	BLMH
CPD	0	Not_cis-driven	Ovary	Age	CPD
GOSR1	0	Not_cis-driven	Ovary	Age	GOSR1
MMP28	0	Not_cis-driven	Ovary	Age	MMP28
ACACA	0	Not_cis-driven	Ovary	Age	ACACA
PLXDC1	0	Not_cis-driven	Ovary	Age	PLXDC1
STARD3	0	Not_cis-driven	Ovary	Age	STARD3
SMARCE1	0	Not_cis-driven	Ovary	Age	SMARCE1
FAM134C	0	Not_cis-driven	Ovary	Age	FAM134C
CNTNAP1	0	Not_cis-driven	Ovary	Age	CNTNAP1
WNK4	0	Not_cis-driven	Ovary	Age	WNK4
BRCA1	0	Not_cis-driven	Ovary	Age	BRCA1
NBR1	0	Not_cis-driven	Ovary	Age	NBR1
CD300LG	0	Not_cis-driven	Ovary	Age	CD300LG
NAGS	0	Not_cis-driven	Ovary	Age	NAGS
FAM171A2	0	Not_cis-driven	Ovary	Age	FAM171A2
GJC1	0	Not_cis-driven	Ovary	Age	GJC1
ARHGAP27	0	Not_cis-driven	Ovary	Age	ARHGAP27
ITGB3	0	Not_cis-driven	Ovary	Age	ITGB3
HOXB3	0	Not_cis-driven	Ovary	Age	HOXB3
KAT7	0	Not_cis-driven	Ovary	Age	KAT7
EPN3	0	Not_cis-driven	Ovary	Age	EPN3
VEZF1	0	Not_cis-driven	Ovary	Age	VEZF1
RNF43	0	Not_cis-driven	Ovary	Age	RNF43
TBX2	0	Not_cis-driven	Ovary	Age	TBX2
ICAM2	0	Not_cis-driven	Ovary	Age	ICAM2
FAM20A	0	Not_cis-driven	Ovary	Age	FAM20A
UNC13D	1	Cis-driven	Ovary	Age	UNC13D
FBF1	0	Not_cis-driven	Ovary	Age	FBF1
CYGB	0	Not_cis-driven	Ovary	Age	CYGB
PRCD	0	Not_cis-driven	Ovary	Age	PRCD
MFSD11	1	Cis-driven	Ovary	Age	MFSD11
DNAH17	0	Not_cis-driven	Ovary	Age	DNAH17
USP36	0	Not_cis-driven	Ovary	Age	USP36
CBX2	0	Not_cis-driven	Ovary	Age	CBX2
AATK	0	Not_cis-driven	Ovary	Age	AATK
ACTG1	0	Not_cis-driven	Ovary	Age	ACTG1
EMILIN2	0	Not_cis-driven	Ovary	Age	EMILIN2
EPB41L3	0	Not_cis-driven	Ovary	Age	EPB41L3
L3MBTL4	0	Not_cis-driven	Ovary	Age	L3MBTL4
TWSG1	0	Not_cis-driven	Ovary	Age	TWSG1
PPP4R1	0	Not_cis-driven	Ovary	Age	PPP4R1
ESCO1	2	Cis-driven	Ovary	Age	ESCO1
TMEM241	0	Not_cis-driven	Ovary	Age	TMEM241
ZNF521	1	Cis-driven	Ovary	Age	ZNF521
CDH2	0	Not_cis-driven	Ovary	Age	CDH2
B4GALT6	0	Not_cis-driven	Ovary	Age	B4GALT6
CCDC178	0	Not_cis-driven	Ovary	Age	CCDC178
CELF4	0	Not_cis-driven	Ovary	Age	CELF4
SMAD7	0	Not_cis-driven	Ovary	Age	SMAD7
MYO5B	0	Not_cis-driven	Ovary	Age	MYO5B
MAPK4	0	Not_cis-driven	Ovary	Age	MAPK4
MRO	0	Not_cis-driven	Ovary	Age	MRO
NEDD4L	0	Not_cis-driven	Ovary	Age	NEDD4L
ZADH2	0	Not_cis-driven	Ovary	Age	ZADH2
ZNF516	0	Not_cis-driven	Ovary	Age	ZNF516
PARD6G	0	Not_cis-driven	Ovary	Age	PARD6G
SHC2	0	Not_cis-driven	Ovary	Age	SHC2
MIDN	0	Not_cis-driven	Ovary	Age	MIDN
TCF3	0	Not_cis-driven	Ovary	Age	TCF3
TLE6	0	Not_cis-driven	Ovary	Age	TLE6
TLE2	0	Not_cis-driven	Ovary	Age	TLE2
FZR1	0	Not_cis-driven	Ovary	Age	FZR1
EEF2	0	Not_cis-driven	Ovary	Age	EEF2
CHAF1A	0	Not_cis-driven	Ovary	Age	CHAF1A
KDM4B	0	Not_cis-driven	Ovary	Age	KDM4B
SAFB	0	Not_cis-driven	Ovary	Age	SAFB
RFX2	0	Not_cis-driven	Ovary	Age	RFX2
KHSRP	0	Not_cis-driven	Ovary	Age	KHSRP
PRR36	0	Not_cis-driven	Ovary	Age	PRR36
KANK3	0	Not_cis-driven	Ovary	Age	KANK3
ADAMTS10	0	Not_cis-driven	Ovary	Age	ADAMTS10
KANK2	0	Not_cis-driven	Ovary	Age	KANK2
PODNL1	0	Not_cis-driven	Ovary	Age	PODNL1
